company,value,quarter,location
Tencent Music,1100000000,4th Quarter,China
MOGU,67000000,4th Quarter,China
Weidai,45000000,4th Quarter,China
Niu.com,63000000,4th Quarter,China
SolarWinds,375000000,4th Quarter,Other
Anaplan,263500000,4th Quarter,Bay_Area
Elastic,252000000,4th Quarter,Bay_Area
UpWork,187000000,4th Quarter,Bay_Area
CooTek,52200000,3rd Quarter,China
SurveyMonkey,180000000,3rd Quarter,Bay_Area
Viomi,102600000,3rd Quarter,China
Farfetch,885000000,3rd Quarter,Other
Eventbrite,230000000,3rd Quarter,Bay_Area
NIO,1000000000,3rd Quarter,China
Arlo Technologies,163200000,3rd Quarter,Bay_Area
Sonos,83000000,3rd Quarter,Other
Opera,115000000,3rd Quarter,Other
Cango,44000000,3rd Quarter,China
Endava,127000000,3rd Quarter,Other
Tenable,250000000,3rd Quarter,Other
Pinduoduo,1630000000,3rd Quarter,China
Bloom Energy,270000000,3rd Quarter,Bay_Area
Domo,193000000,2nd Quarter,Other
EverQuote,84000000,2nd Quarter,Other
Uxin,225000000,2nd Quarter,China
HyreCar,12600000,2nd Quarter,Other
i3 Verticals,86450000,2nd Quarter,Other
Avalara,157500000,2nd Quarter,Other
GreenSky,874000000,2nd Quarter,Other
Pluralsight,310000000,2nd Quarter,Other
Huya,180000000,2nd Quarter,China
Smartsheet,150000000,2nd Quarter,Other
Docusign,629000000,2nd Quarter,Bay_Area
Ceridian HCM Holding,462000000,2nd Quarter,Other
Pivotal Software,555000000,2nd Quarter,Bay_Area
Zuora,154000000,2nd Quarter,Bay_Area
Carbon Black,152000000,2nd Quarter,Other
Spotify,9245000000,2nd Quarter,Other
IQIYI,2250000000,1st Quarter,China
BiliBili,483000000,1st Quarter,China
Dropbox,756000000,1st Quarter,Bay_Area
Zscaler,192000000,1st Quarter,Bay_Area
Senmiao Technology,12000000,1st Quarter,China
Cardlytics,203000000,1st Quarter,Other
Huami,110000000,1st Quarter,China
One Stop Systems (OSS),19000000,1st Quarter,Other
PagSeguro,2265789433,1st Quarter,Other
ADT,1470000000,1st Quarter,Other
